Lab_ID,RefID,Group,Pen,Season,Period,Ration_Type,Num_Days,Daily_Mean_Intake,Daily_Mean_Time,Daily_Mean_Num_Visits,Daily_Mean_Intake_Rate_kg_per_s,Daily_Mean_Intake_Rate_g_per_s,Daily_Mean_Avg_Event_Time,Daily_Mean_Avg_Intake,Daily_Mean_Intake_Std_Dev,Daily_Mean_Interval_Avg_secs,Daily_Mean_Interval_Avg_mins,Start_Wt_kg,HCW_kg,BFAT_cm,REA_cm2,YG,Marb_stand,Continental,Bos_Indicus,Dairy,ADG_lbs,Bunk_Management
134,734,1,3,Summer,Baseline,mix1,65,7.417076923,5121.553846,24.27692308,0.001492485,1.492485,220.7523626,0.321900673,0.253820245,1664.928133,27.74880222,281.1791383,NA,NA,NA,NA,NA,NA,NA,NA,1.657642649,slick
135,735,1,1,Summer,Baseline,mix1,65,10.02870769,4667.369231,49.32307692,0.002394443,2.394443,96.40033265,0.211952883,0.160150288,853.2124334,14.22020722,311.1111111,427.27,0.77,100.37,2.16,310,0.774038722,0.067724995,0.043930083,1.397565829,slick
136,736,1,2,Summer,Baseline,mix1,65,7.853107692,6611.723077,21.27692308,0.001217412,1.217412,343.6195241,0.414783125,0.369255239,1886.282537,31.43804228,253.0612245,400.45,1.08,87.54,2.89,350,0.936110871,0,0.002068829,1.212457772,slick
137,738,1,4,Summer,Baseline,mix1,64,12.0920625,6128.5,38.75,0.002067952,2.067952,165.7996033,0.322656844,0.267458666,966.6413297,16.11068883,347.3922902,481.36,1.85,109.68,3.4,350,0.703277487,0.0589523,0.036402732,1.636355222,slick
138,739,1,2,Summer,Baseline,mix1,65,8.722892308,7033.646154,24.92307692,0.001285182,1.285182,297.5708735,0.376561244,0.34159123,1631.883913,27.19806522,326.5306122,448.36,1.78,92.71,3.78,410,0.985485124,0,0.006013323,1.566014161,slick
139,741,1,4,Summer,Baseline,mix1,63,9.681079365,6653.365079,32.55555556,0.001513128,1.513128,218.1078065,0.318200706,0.258800306,1093.473276,18.2245546,353.7414966,453.82,1.3,122.58,1.83,440,0.683897539,0,0.038462454,1.159701976,slick
140,742,1,2,Summer,Baseline,mix1,65,11.50756923,6749.215385,32.90769231,0.001743042,1.743042,223.8055035,0.377233937,0.285549722,1094.466165,18.24110275,325.6235828,415.64,1.5,99.55,2.88,340,0.404133293,0.017089592,0.063922812,1.517886066,slick
141,743,1,1,Summer,Baseline,mix1,65,8.660276923,6217.861538,26.36923077,0.00153052,1.53052,243.8307949,0.346889428,0.292716053,1583.78068,26.39634467,311.1111111,408.36,1.85,95.87,3.38,320,0.583857312,0.014138375,0.027929135,1.230968578,slick
143,747,1,4,Summer,Baseline,mix1,65,9.808984615,5800.261538,32.47692308,0.001738116,1.738116,198.4318854,0.341365727,0.283602319,1159.463935,19.32439892,347.3922902,401.82,1.2,104.61,2.2,540,0.441520861,0.045718852,0.025859493,1.084733213,slick
144,748,1,3,Summer,Baseline,mix1,65,9.908030769,5488.846154,47.86153846,0.001865724,1.865724,122.8355326,0.218110879,0.178608669,769.9063556,12.83177259,333.7868481,424.55,0.6,109.61,1.5,350,0.821863796,0.034770498,0.081191669,1.330926929,slick
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
